,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
0,0,373765,经济学类(国际经济与贸易、财政学、税收学),2021,北京,综合改革,18,656.0,644.0,暂无数据,普通招生,本科一批
1,1,373766,金融学类(金融学(国际金融与市场)、经济与金融),2021,北京,综合改革,19,656.0,647.0,暂无数据,普通招生,本科一批
2,2,373767,国际经济与贸易(国际组织人才基地班),2021,北京,综合改革,4,662.0,659.0,暂无数据,普通招生,本科一批
3,3,373768,金融学,2021,北京,综合改革,31,662.0,647.0,暂无数据,普通招生,本科一批
4,4,373769,金融工程,2021,北京,综合改革,5,661.0,654.0,暂无数据,普通招生,本科一批
5,5,373770,投资学,2021,北京,综合改革,10,650.0,645.0,暂无数据,普通招生,本科一批
6,6,373771,金融工程(量化金融实验班),2021,北京,综合改革,4,668.0,659.0,暂无数据,普通招生,本科一批
7,7,373772,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2021,北京,综合改革,17,654.0,643.0,暂无数据,普通招生,本科一批
8,8,373773,法学类(法学),2021,北京,综合改革,10,653.0,644.0,暂无数据,普通招生,本科一批
9,9,373774,数据科学与大数据技术,2021,北京,综合改革,2,652.0,652.0,暂无数据,普通招生,本科一批
10,10,373775,保险学,2021,北京,综合改革,6,645.0,645.0,暂无数据,普通招生,本科一批
11,11,373776,精算学,2021,北京,综合改革,7,657.0,651.0,暂无数据,普通招生,本科一批
12,12,373777,金融数学,2021,北京,综合改革,4,653.0,652.0,暂无数据,普通招生,本科一批
13,13,373778,经济统计学,2021,北京,综合改革,6,651.0,646.0,暂无数据,普通招生,本科一批
14,14,373779,统计学,2021,北京,综合改革,3,652.0,652.0,暂无数据,普通招生,本科一批
