,Unnamed: 0,id,majorName,year,cityName,scienceClass,enrollNum,hightScore,lowScore,avgScore,type,batch
1793,1793,230172,经济学类(国际经济与贸易、财政学、税收学),2019,甘肃,文科,3,627.0,618.0,621.0,普通招生,本科一批
1794,1794,230173,金融学类(金融学(国际金融与市场)、经济与金融),2019,甘肃,文科,2,626.0,620.0,623.0,普通招生,本科一批
1795,1795,230174,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,甘肃,文科,3,617.0,616.0,616.0,普通招生,本科一批
1796,1796,230175,法学类(法学),2019,甘肃,文科,3,622.0,611.0,617.0,普通招生,本科一批
1797,1797,230176,外国语言文学类(商务英语、翻译、英语),2019,甘肃,文科,2,614.0,613.0,613.0,普通招生,本科一批
1798,1798,230177,保险学,2019,甘肃,文科,1,610.0,610.0,610.0,普通招生,本科一批
1799,1799,230178,政治学类(国际政治、政治学与行政学),2019,甘肃,文科,3,617.0,610.0,612.0,普通招生,本科一批
1800,1800,230450,经济学类(国际经济与贸易、财政学、税收学),2019,甘肃,理科,2,618.0,617.0,617.0,普通招生,本科一批
1801,1801,230451,金融学类(金融学(国际金融与市场)、经济与金融),2019,甘肃,理科,1,619.0,619.0,619.0,普通招生,本科一批
1802,1802,230452,金融学类(金融学、金融工程、投资学),2019,甘肃,理科,4,618.0,616.0,617.0,普通招生,本科一批
1803,1803,230453,工商管理类(会计学、财务管理、人力资源管理、市场营销、工商管理),2019,甘肃,理科,4,619.0,610.0,613.0,普通招生,本科一批
1804,1804,230454,法学类(法学),2019,甘肃,理科,1,613.0,613.0,613.0,普通招生,本科一批
1805,1805,230455,数据科学与大数据技术,2019,甘肃,理科,1,631.0,631.0,631.0,普通招生,本科一批
1806,1806,230456,电子商务类(电子商务、信息管理与信息系统),2019,甘肃,理科,2,610.0,610.0,610.0,普通招生,本科一批
1807,1807,230457,精算学,2019,甘肃,理科,3,617.0,612.0,614.0,普通招生,本科一批
1808,1808,230458,金融数学,2019,甘肃,理科,1,614.0,614.0,614.0,普通招生,本科一批
